trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,timepoint
"154","06:00:00","06:00:00","8100","1","Alinga Street","0","1","1"
"154","06:01:44","06:02:04","8104","2","Alinga Street","0","0","1"
"154","06:03:34","06:03:54","8106","3","Alinga Street","0","0","1"
"154","06:05:10","06:05:30","8108","4","Alinga Street","0","0","1"
"154","06:07:02","06:07:22","8110","5","Alinga Street","0","0","1"
"154","06:11:04","06:11:24","8114","6","Alinga Street","0","0","1"
"154","06:13:20","06:13:40","8116","7","Alinga Street","0","0","1"
"154","06:15:29","06:15:49","8118","8","Alinga Street","0","0","1"
"154","06:17:19","06:17:39","8120","9","Alinga Street","0","0","1"
"154","06:19:19","06:19:39","8122","10","Alinga Street","0","0","1"
"154","06:20:49","06:21:09","8124","11","Alinga Street","0","0","1"
"154","06:22:38","06:22:58","8126","12","Alinga Street","0","0","1"
"154","06:24:35","06:24:35","8129","13","Alinga Street","1","0","1"
"8","06:30:00","06:30:00","8129","1","Gungahlin Place","0","1","1"
"8","06:31:54","06:32:14","8127","2","Gungahlin Place","0","0","1"
"8","06:33:19","06:33:39","8125","3","Gungahlin Place","0","0","1"
"8","06:34:35","06:34:55","8123","4","Gungahlin Place","0","0","1"
"8","06:36:29","06:36:49","8121","5","Gungahlin Place","0","0","1"
"8","06:38:26","06:38:46","8119","6","Gungahlin Place","0","0","1"
"8","06:40:30","06:40:50","8117","7","Gungahlin Place","0","0","1"
"8","06:42:45","06:43:05","8115","8","Gungahlin Place","0","0","1"
"8","06:46:53","06:47:13","8111","9","Gungahlin Place","0","0","1"
"8","06:49:02","06:49:22","8109","10","Gungahlin Place","0","0","1"
"8","06:50:38","06:50:58","8107","11","Gungahlin Place","0","0","1"
"8","06:52:37","06:52:57","8105","12","Gungahlin Place","0","0","1"
"8","06:54:35","06:54:35","8100","13","Gungahlin Place","1","0","1"
"158","07:00:00","07:00:00","8100","1","Alinga Street","0","1","1"
"158","07:01:44","07:02:04","8104","2","Alinga Street","0","0","1"
